stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
63,63,Cranberry Lake,Northbound stop,40.955797,-74.736619,,,,
64,64,Panther Lake,Northbound stop,40.963464,-74.738885,,,,
65,65,D&E Service,Northbound stop,41.000735,-74.750633,,,,
66,66,Simon Peter,Northbound stop,41.009046,-74.758551,,,,
67,67,Masonic Lodge,Northbound stop,41.015608,-74.767118,,,,
68,68,Stickles Pond Road,Northbound stop,41.018704,-74.768808,,,,
69,69,West Sunset Boulevard,Northbound stop,41.022403,-74.768915,,,,
70,70,The Abbey,Northbound stop,41.031559,-74.766222,,,,
71,71,Merriam Avenue,Northbound stop,41.040933,-74.762743,,,,
72,72,Paterson Avenue,Northbound stop,41.045122,-74.758067,,,,
73,73,Nelson Street,Northbound stop,41.048549,-74.756644,,,,
74,74,Halsted Street,Northbound stop,41.055997,-74.754547,,,,
75,75,East Clinton Street,Northbound stop,41.060762,-74.751516,,,,
